timestamp,missing_items,snapshot
2026-03-31T18:49:38.713204,"helmet,vest",snapshots\violation_20260331_184938_helmet_vest.jpg
2026-03-31T18:49:38.840797,"helmet,vest",snapshots\violation_20260331_184938_helmet_vest.jpg
2026-03-31T18:49:38.966592,"helmet,vest",snapshots\violation_20260331_184938_helmet_vest.jpg
2026-03-31T18:49:39.098785,"helmet,vest",snapshots\violation_20260331_184939_helmet_vest.jpg
2026-03-31T18:49:39.227568,"helmet,vest",snapshots\violation_20260331_184939_helmet_vest.jpg
2026-03-31T18:49:39.350756,"helmet,vest",snapshots\violation_20260331_184939_helmet_vest.jpg
2026-03-31T18:49:39.477882,"helmet,vest",snapshots\violation_20260331_184939_helmet_vest.jpg
2026-03-31T18:49:39.610494,"helmet,vest",snapshots\violation_20260331_184939_helmet_vest.jpg
2026-03-31T18:49:39.738354,"helmet,vest",snapshots\violation_20260331_184939_helmet_vest.jpg
2026-03-31T18:49:39.857931,"helmet,vest",snapshots\violation_20260331_184939_helmet_vest.jpg
2026-03-31T18:49:39.984698,"helmet,vest",snapshots\violation_20260331_184939_helmet_vest.jpg
2026-03-31T18:49:40.114951,"helmet,vest",snapshots\violation_20260331_184940_helmet_vest.jpg
2026-03-31T18:49:40.242311,"helmet,vest",snapshots\violation_20260331_184940_helmet_vest.jpg
2026-03-31T18:49:40.368315,"helmet,vest",snapshots\violation_20260331_184940_helmet_vest.jpg
2026-03-31T18:49:40.496672,"helmet,vest",snapshots\violation_20260331_184940_helmet_vest.jpg
2026-03-31T18:49:40.633399,"helmet,vest",snapshots\violation_20260331_184940_helmet_vest.jpg
2026-03-31T18:49:40.765951,"helmet,vest",snapshots\violation_20260331_184940_helmet_vest.jpg
2026-03-31T18:49:40.898862,"helmet,vest",snapshots\violation_20260331_184940_helmet_vest.jpg
2026-03-31T18:49:41.028705,"helmet,vest",snapshots\violation_20260331_184941_helmet_vest.jpg
2026-03-31T18:49:41.166492,"helmet,vest",snapshots\violation_20260331_184941_helmet_vest.jpg
2026-03-31T18:49:41.299404,"helmet,vest",snapshots\violation_20260331_184941_helmet_vest.jpg
2026-03-31T18:49:41.424495,"helmet,vest",snapshots\violation_20260331_184941_helmet_vest.jpg
2026-03-31T18:49:41.558891,"helmet,vest",snapshots\violation_20260331_184941_helmet_vest.jpg
2026-03-31T18:49:42.492800,"helmet,vest",snapshots\violation_20260331_184942_helmet_vest.jpg
2026-03-31T18:49:42.727406,"helmet,vest",snapshots\violation_20260331_184942_helmet_vest.jpg
2026-03-31T18:49:42.878426,"helmet,vest",snapshots\violation_20260331_184942_helmet_vest.jpg
2026-03-31T18:49:43.025203,"helmet,vest",snapshots\violation_20260331_184943_helmet_vest.jpg
2026-03-31T18:49:43.175291,"helmet,vest",snapshots\violation_20260331_184943_helmet_vest.jpg
2026-03-31T18:49:43.328703,"helmet,vest",snapshots\violation_20260331_184943_helmet_vest.jpg
2026-03-31T18:49:43.531181,"helmet,vest",snapshots\violation_20260331_184943_helmet_vest.jpg
2026-03-31T18:49:43.738330,"helmet,vest",snapshots\violation_20260331_184943_helmet_vest.jpg
2026-03-31T18:49:43.926904,"helmet,vest",snapshots\violation_20260331_184943_helmet_vest.jpg
2026-03-31T18:49:44.098771,"helmet,vest",snapshots\violation_20260331_184944_helmet_vest.jpg
2026-03-31T18:49:44.229240,"helmet,vest",snapshots\violation_20260331_184944_helmet_vest.jpg
2026-03-31T18:49:44.366825,"helmet,vest",snapshots\violation_20260331_184944_helmet_vest.jpg
2026-03-31T18:49:44.488522,"helmet,vest",snapshots\violation_20260331_184944_helmet_vest.jpg
2026-03-31T18:49:44.629795,"helmet,vest",snapshots\violation_20260331_184944_helmet_vest.jpg
2026-03-31T18:49:44.748634,"helmet,vest",snapshots\violation_20260331_184944_helmet_vest.jpg
2026-03-31T18:49:44.906697,"helmet,vest",snapshots\violation_20260331_184944_helmet_vest.jpg
2026-03-31T18:49:45.082837,"helmet,vest",snapshots\violation_20260331_184945_helmet_vest.jpg
2026-03-31T18:49:45.263280,"helmet,vest",snapshots\violation_20260331_184945_helmet_vest.jpg
2026-03-31T18:49:45.395044,"helmet,vest",snapshots\violation_20260331_184945_helmet_vest.jpg
2026-03-31T18:49:45.529623,"helmet,vest",snapshots\violation_20260331_184945_helmet_vest.jpg
2026-03-31T18:49:45.663938,"helmet,vest",snapshots\violation_20260331_184945_helmet_vest.jpg
2026-03-31T18:49:45.789783,"helmet,vest",snapshots\violation_20260331_184945_helmet_vest.jpg
2026-03-31T18:49:45.917039,"helmet,vest",snapshots\violation_20260331_184945_helmet_vest.jpg
2026-03-31T18:49:46.039805,"helmet,vest",snapshots\violation_20260331_184946_helmet_vest.jpg
2026-03-31T18:49:46.196149,"helmet,vest",snapshots\violation_20260331_184946_helmet_vest.jpg
2026-03-31T18:49:46.320163,"helmet,vest",snapshots\violation_20260331_184946_helmet_vest.jpg
2026-03-31T18:49:46.442429,"helmet,vest",snapshots\violation_20260331_184946_helmet_vest.jpg
2026-03-31T18:49:46.575470,"helmet,vest",snapshots\violation_20260331_184946_helmet_vest.jpg
2026-03-31T18:49:47.524225,"helmet,vest",snapshots\violation_20260331_184947_helmet_vest.jpg
2026-03-31T18:49:47.771173,"helmet,vest",snapshots\violation_20260331_184947_helmet_vest.jpg
2026-03-31T18:49:47.920841,"helmet,vest",snapshots\violation_20260331_184947_helmet_vest.jpg
2026-03-31T18:49:48.045620,"helmet,vest",snapshots\violation_20260331_184948_helmet_vest.jpg
2026-03-31T18:49:48.185002,"helmet,vest",snapshots\violation_20260331_184948_helmet_vest.jpg
2026-03-31T18:49:48.327064,"helmet,vest",snapshots\violation_20260331_184948_helmet_vest.jpg
2026-03-31T18:49:48.450653,"helmet,vest",snapshots\violation_20260331_184948_helmet_vest.jpg
2026-03-31T18:49:48.585388,"helmet,vest",snapshots\violation_20260331_184948_helmet_vest.jpg
2026-03-31T18:49:48.718329,"helmet,vest",snapshots\violation_20260331_184948_helmet_vest.jpg
2026-03-31T18:49:48.850458,"helmet,vest",snapshots\violation_20260331_184948_helmet_vest.jpg
2026-03-31T18:49:48.977983,"helmet,vest",snapshots\violation_20260331_184948_helmet_vest.jpg
2026-03-31T18:49:49.101570,"helmet,vest",snapshots\violation_20260331_184949_helmet_vest.jpg
2026-03-31T18:49:49.245030,"helmet,vest",snapshots\violation_20260331_184949_helmet_vest.jpg
2026-03-31T18:49:49.377513,"helmet,vest",snapshots\violation_20260331_184949_helmet_vest.jpg
2026-03-31T18:49:49.528980,"helmet,vest",snapshots\violation_20260331_184949_helmet_vest.jpg
